,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,387,0,0,0,0,0,0,1.4,0,388.4
Herbaceous crops,0,129.5,0,0,0,0,0,0,0,129.5
In land water Bodies,0,0,13799.3,0,0,0,2.4,4.2,0,13806
Multiple or Layered crop,0,0,0,347.5,0,0,0.6,13.4,0,361.5
Shrub cover areas,0,0,0,0,2127,0,0,0,0,2127
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0,0,0,0,0,0,202.5,0.6,0,203.1
Terrestrial barren land,0,0,0,0,0,0,0,325.2,0,325.2
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,387,129.5,13799.3,347.5,2127,0.2,205.6,344.8,1.8,17342.6
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,377.6,0,0,0.1,0,0,4.7,4.6,0,387
Herbaceous crops,0.2,129.3,0,0,0,0,0,0,0,129.5
In land water Bodies,10.4,0,13708.6,0,0,0,8.3,72,0,13799.3
Multiple or Layered crop,0,0,0,312.4,0,0,18.4,16.6,0,347.5
Shrub cover areas,0,0,0,0,2127,0,0,0,0,2127
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0,0,0,0,0,0,201.9,3.7,0,205.6
Terrestrial barren land,12.5,0,0,0,0,0,0,332.3,0,344.8
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,400.8,129.3,13708.6,312.5,2127,0.2,233.3,429.2,1.8,17342.6
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,398.2,0,0,0.2,0,0,1.4,1,0,400.8
Herbaceous crops,0,129.2,0,0.2,0,0,0,0,0,129.3
In land water Bodies,0,0,13708.6,0,0,0,0,0,0,13708.6
Multiple or Layered crop,0.1,0,0,307.9,0.7,0,2.7,1.1,0,312.5
Shrub cover areas,0,0,0,0,2127,0,0,0,0,2127
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0,0,0,0,0,0,233.3,0,0,233.3
Terrestrial barren land,2.5,0,0,0,0,0,0.2,426.5,0,429.2
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,400.9,129.2,13708.6,308.2,2127.7,0.2,237.5,428.6,1.8,17342.6
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,398,0,0,0.1,0,0,0.7,2.1,0,400.9
Herbaceous crops,0,129.2,0,0,0,0,0,0,0,129.2
In land water Bodies,0,0,13708.6,0,0,0,0,0,0,13708.6
Multiple or Layered crop,0.1,0,0,301.1,0,0,4,3.1,0,308.2
Shrub cover areas,0,0,0,0.1,2127.6,0,0,0,0,2127.7
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0.3,0,0,0,0,0,237.2,0,0,237.5
Terrestrial barren land,1,0,0,0,0,0,2.3,425.2,0,428.6
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,399.3,129.2,13708.6,301.3,2127.6,0.2,244.3,430.4,1.8,17342.6
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,398.6,0,0,0,0,0,0,0.7,0,399.3
Herbaceous crops,0,129.2,0,0,0,0,0,0,0,129.2
In land water Bodies,0,0,13708.6,0,0,0,0,0,0,13708.6
Multiple or Layered crop,0,0,0,300.2,0,0,0.9,0.2,0,301.3
Shrub cover areas,0,0,0,0,2127.6,0,0,0,0,2127.6
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,1.6,0,0,0,0,0,242.6,0,0,244.3
Terrestrial barren land,1.1,0,0,0.1,0,0,4.4,424.8,0,430.4
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,401.3,129.2,13708.6,300.3,2127.6,0.2,247.9,425.7,1.8,17342.6
