,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,391.5,0,0,0,0,0,0,1.4,0,392.9
Herbaceous crops,0,132.5,0,0,0,0,0,0,0,132.5
In land water Bodies,0,0,172.6,0,0,0,2.5,4.3,0,179.5
Multiple or Layered crop,0,0,0,356.3,0,0,0.6,13.5,0,370.4
Shrub cover areas,0,0,0,0,2184,0,0,0,0,2184
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0,0,0,0,0,0,206,0.6,0,206.5
Terrestrial barren land,0,0,0,0,0,0,0,320.5,0,320.5
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,391.5,132.5,172.6,356.3,2184,0.2,209.1,340.3,1.8,3788.3
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,381.9,0,0,0.1,0,0,4.8,4.7,0,391.5
Herbaceous crops,0.2,132.3,0,0,0,0,0,0,0,132.5
In land water Bodies,7.9,0,104.2,0,0,0,7.9,52.5,0,172.6
Multiple or Layered crop,0,0,0,320.2,0,0,18.9,17.1,0,356.3
Shrub cover areas,0,0,0,0,2184,0,0,0,0,2184
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0,0,0,0,0,0,205.4,3.7,0,209.1
Terrestrial barren land,12.8,0,0,0,0,0,0,327.4,0,340.3
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,402.8,132.3,104.2,320.3,2184,0.2,237.1,405.4,1.8,3788.3
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,400.4,0,0,0.2,0,0,1.4,0.8,0,402.8
Herbaceous crops,0,132.2,0,0.2,0,0,0,0,0,132.3
In land water Bodies,0,0,104.2,0,0,0,0,0,0,104.2
Multiple or Layered crop,0.1,0,0,315.6,0.7,0,2.8,1.1,0,320.3
Shrub cover areas,0,0,0,0,2184,0,0,0,0,2184
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0,0,0,0,0,0,237.1,0,0,237.1
Terrestrial barren land,2.6,0,0,0,0,0,0.2,402.7,0,405.4
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,403.1,132.2,104.2,316,2184.7,0.2,241.5,404.6,1.8,3788.3
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,400.2,0,0,0.1,0,0,0.7,2.1,0,403.1
Herbaceous crops,0,132.2,0,0,0,0,0,0,0,132.2
In land water Bodies,0,0,104.2,0,0,0,0,0,0,104.2
Multiple or Layered crop,0.1,0,0,308.7,0,0,4.1,3.1,0,316
Shrub cover areas,0,0,0,0.1,2184.6,0,0,0,0,2184.7
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,0.3,0,0,0,0,0,241.2,0,0,241.5
Terrestrial barren land,1,0,0,0,0,0,2.4,401.2,0,404.6
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,401.5,132.2,104.2,308.9,2184.6,0.2,248.4,406.4,1.8,3788.3
,Grassland,Herbaceous crops,In land water Bodies,Multiple or Layered crop,Shrub cover areas,Shrubs and or herbaceous areas,Sparsely natural vegetated areas,Terrestrial barren land,Tree cover areas,Sum
Grassland,400.8,0,0,0,0,0,0,0.7,0,401.5
Herbaceous crops,0,132.2,0,0,0,0,0,0,0,132.2
In land water Bodies,0,0,104.2,0,0,0,0,0,0,104.2
Multiple or Layered crop,0,0,0,307.7,0,0,0.9,0.2,0,308.9
Shrub cover areas,0,0,0,0,2184.6,0,0,0,0,2184.6
Shrubs and or herbaceous areas,0,0,0,0,0,0.2,0,0,0,0.2
Sparsely natural vegetated areas,1.7,0,0,0,0,0,246.8,0,0,248.4
Terrestrial barren land,1.1,0,0,0.1,0,0,4.5,400.7,0,406.4
Tree cover areas,0,0,0,0,0,0,0,0,1.8,1.8
Sum,403.6,132.2,104.2,307.8,2184.6,0.2,252.2,401.6,1.8,3788.3
